DOC_CD,DOC_DEPT_CD,DOC_ID,CTCLS_CD
MA1,857,20191201411,RA
CT1,850,20181420491,C
CT1,846,20181422502,RG
CT1,846,20181422501,RG
CT1,827,20181423236,X
CT1,850,20181428891,C
CT1,841,20181428217,C
CT1,850,20181427332,C
CT1,850,20181428880,C
CT1,826,20181428908,C
CT1,826,20181428591,C
CT1,850,20181428877,C
CT1,850,20181429132,C
CT1,850,20181427781,C
CT1,850,20181427991,C
CT1,850,20181428351,C
CT1,850,20181427437,C
CT1,850,20181428051,C
CT1,841,20181428322,C
CT1,850,20181428323,C
CT1,057,20191402163,RB
CT1,072,20191402342,RG
CT1,850,20191401381,X
CT1,850,20191402118,X
CT1,057,20191402553,G
CT1,826,20191402283,X
CT1,850,20191402956,C
CT1,846,20191403336,C
CT1,850,20191404531,C
CT1,850,20191403844,C
CT1,850,20191404786,C
CT1,846,20191404416,RG
CT1,850,20191405058,C
CT1,841,20191406901,C
CT1,850,20191407985,C
CT1,846,20191407986,C
CT1,057,20191407628,RG
CT1,850,20191410248,C
CT1,841,20191409649,C
CT1,850,20191412887,C
CT1,826,20191413023,X
CT1,850,20191411330,C
CT1,841,20191414178,C
CT1,850,20191414012,C
CT1,841,20191415423,G
CT1,826,20191413473,X
CT1,826,20191417139,X
CT1,072,20191402342,RB
